SAMPLE,SITE,SUBSITE,DATE,SEASON,GPS,PLAYBACK,START TIME,SPECIES,GROUP SIZE,TREATMENT,FLEE,ALARM,MOB,INTEREST,NUMBER ALARM,ALARMS/GS,MOBS,CALLS/GS,TOTAL VOCALIZATIONS,TOTAL/GS,DISTANCE (m),HEIGHT (m),HYPOTENUSE,LATENCY ALARM (s),NOTES
43,ISLAND,--,07/25/2025,SUMMER,--,--,1142,ISSJ,3,CONTROL,YES,YES,NO,NO,13,4.333,0,0.000,13,4.333,10.8,4,11.52,0.909,
47,ISLAND,AIRPORT,07/26/2025,SUMMER,"33°59'22""N, 119°40'37""W",--,630,ISSJ,4,HAWK,YES,YES,NO,YES,14,3.500,0,0.000,14,3.500,17,0,17.00,0.799,two sets of alarms
48,ISLAND,AIRPORT,07/26/2025,SUMMER,"33°59'22""N, 119°40'37""W",--,635,ISSJ,2,CONTROL,YES,YES,NO,NO,2,1.000,0,0.000,2,1.000,17.3,1,17.33,1.463,
49,ISLAND,AIRPORT,07/26/2025,SUMMER,"33°59'21""N, 119°40'31""W",--,726,ISSJ,4,HAWK,YES,YES,NO,YES,9,2.250,0,0.000,9,2.250,12,6,13.42,1.092,
50,ISLAND,AIRPORT,07/26/2025,SUMMER,"33°59'16""N, 199°40'25""W",--,739,ISSJ,7,CONTROL,YES,YES,NO,YES,17,2.429,0,0.000,17,2.429,22.3,1,22.32,2.633,
51,ISLAND,AIRPORT,07/26/2025,SUMMER,"33°59'15""N, 119°40'22""W",--,747,ISSJ,7,HAWK,YES,YES,YES,YES,34,4.857,3,0.429,37,5.286,25,1,25.02,0.957,
52,ISLAND,AIRPORT,07/26/2025,SUMMER,"33°59'13""N, 119°40'14""W",--,754,ISSJ,2,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,10.7,1,10.75,-,no alarm vocalizations
53,ISLAND,AIRPORT,07/26/2025,SUMMER,--,--,803,ISSJ,1,HAWK,YES,YES,NO,NO,2,2.000,0,0.000,2,2.000,16.4,2,16.52,2.862,
55,ISLAND,AIRPORT,07/26/2025,SUMMER,--,--,848,ISSJ,3,HAWK,YES,YES,YES,YES,11,3.667,1,0.333,12,4.000,14.7,5,15.53,1.348,
56,ISLAND,AIRPORT,07/26/2025,SUMMER,--,--,923,ISSJ,5,HAWK,YES,YES,YES,NO,17,3.400,6,1.200,23,4.600,23.3,1,23.32,1.152,
57,ISLAND,AIRPORT,07/26/2025,SUMMER,"33°59'22""N, 119°40'37""W",--,929,ISSJ,2,CONTROL,YES,YES,NO,NO,7,3.500,0,0.000,7,3.500,17.3,2,17.42,1.414,
58,ISLAND,AIRPORT,07/26/2025,SUMMER,"33°59'22""N, 119°40'48""W",--,940,ISSJ,6,HAWK,YES,YES,YES,YES,17,2.833,1,0.167,18,3.000,32.5,0,32.50,1.315,
59,ISLAND,AIRPORT,07/26/2025,SUMMER,"33°59'24""N, 119°40'57""W",--,946,ISSJ,5,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,11.4,1,11.44,-,no alarm vocalizations
60,ISLAND,AIRPORT,07/26/2025,SUMMER,"33°59'25""N 119°40'45""W",--,952,ISSJ,1,HAWK,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,17.9,1,17.93,-,no alarm vocalizations
142,ISLAND,AIRPORT,3/6/2026,WINTER,"33°59'25""N, 119°40'57""W",NO,846,ISSJ,2,HAWK,YES,YES,NO,NO,10,5.000,0,0.000,10,5.000,22.3,3,22.50,2.679,
143,ISLAND,AIRPORT,3/6/2026,WINTER,"33°59'25""N, 119°40'56""W",NO,849,ISSJ,4,CONTROL,YES,YES,YES,YES,5,1.250,2,0.500,7,1.750,29.8,3,29.95,6.622,
144,ISLAND,AIRPORT,3/6/2026,WINTER,"33°59'21""N, 119°40'37""W",NO,902,ISSJ,2,HAWK,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,21.6,3,21.81,NA,
145,ISLAND,AIRPORT,3/6/2026,WINTER,"33°59'22""N, 119°40'38""W",NO,905,ISSJ,3,CONTROL,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,23.8,2,23.88,NA,
146,ISLAND,AIRPORT,3/6/2026,WINTER,"33°59'19""N, 119°40'36""W",YES,915,ISSJ,2,CONTROL,YES,YES,NO,NO,3,1.500,0,0.000,3,1.500,22.2,4,22.56,1.31,
147,ISLAND,AIRPORT,3/6/2026,WINTER,"33°59'17""N, 119°40'27""W",YES,1000,ISSJ,2,HAWK,YES,YES,NO,NO,4,2.000,0,0.000,4,2.000,20.9,6,21.74,0.884,
1,MAINLAND,BDER,07/02/2025,SUMMER,"37°2'52""N, 122°8'32"" W",--,803,CASJ,3,HAWK,YES,YES,NO,NO,-,-,-,-,37,12.333,7.3,4,8.32,-,"recording starts late, cant get latency of alarms"
2,MAINLAND,BDER,07/02/2025,SUMMER,--,--,904,CASJ,2,HAWK,YES,YES,YES,NO,8,4.000,41,20.500,6,3.000,,,,,
3,MAINLAND,BDER,07/02/2025,SUMMER,"37°2'53""N, 122°8'17""W",--,925,CASJ,2,CONTROL,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,14.2,1,14.24,-,no alarm vocalizations
4,MAINLAND,BDER,07/02/2025,SUMMER,"37°3'4""N, 122°8'14""W",--,929,CASJ,2,HAWK,YES,YES,YES,NO,9,4.500,14,7.000,23,11.500,11.5,6.5,13.21,-,"no latency data, recording started a bit after treatment was thrown"
6,MAINLAND,BDER,07/02/2025,SUMMER,--,--,1008,CASJ,1,CONTROL,YES,YES,YES,NO,-,-,-,-,5,5.000,17.2,3,17.46,-,"Only used ""flight"" alarm"
7,MAINLAND,BDER,07/02/2025,SUMMER,--,--,1046,CASJ,1,HAWK,YES,YES,YES,NO,-,-,-,-,6,6.000,12,2,12.17,-,no recording
109,MAINLAND,BDER,07/02/2025,SUMMER,"37°2'53""N, 122°8'17""W",--,925,CASJ,2,CONTROL,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,14.2,1,14.24,-,no alarm vocalizations
110,MAINLAND,BDER,07/02/2025,SUMMER,"37°3'4""N, 122°8'14""W",--,929,CASJ,2,HAWK,YES,YES,YES,NO,9,4.500,14,7.000,23,11.500,11.5,6.5,13.21,-,"no latency data, recording started a bit after treatment was thrown"
13,MAINLAND,BDER,07/07/2025,SUMMER,"37°3'4""N, 122°8'9""W",--,727,CASJ,2,HAWK,YES,YES,YES,NO,15,7.500,1,0.500,16,8.000,17.5,4,17.95,1.062,
14,MAINLAND,BDER,07/07/2025,SUMMER,--,--,810,CASJ,1,HAWK,YES,YES,YES,NO,17,17.000,19,19.000,36,36.000,,,,,
16,MAINLAND,BDER,07/07/2025,SUMMER,--,--,824,CASJ,3,HAWK,YES,YES,YES,YES,2,0.667,33,11.000,35,11.667,18.5,3,18.74,1.818,INTEREST = MOB
17,MAINLAND,BDER,07/07/2025,SUMMER,--,--,916,CASJ,2,HAWK,YES,YES,YES,YES,7,3.500,42,21.000,49,24.500,,,,,INTEREST = MOB
121,MAINLAND,BDER,02/01/2026,WINTER,--,NO,846,CASJ,1,HAWK,YES,YES,NO,NO,5,5.000,0,0.000,5,5.000,10,5,11.18,0.742,
122,MAINLAND,BDER,02/01/2026,WINTER,"37°3'4""N,122°8'16""W",NO,912,CASJ,1,HAWK,YES,YES,NO,NO,3,3.000,0,0.000,3,3.000,20,3,20.22,1.319,
132,MAINLAND,BDER,02/24/2026,WINTER,"37°2'58""N, 122°8'16""W",NO,652,CASJ,2,CONTROL,YES,YES,YES,NO,7,3.500,2,1.000,9,4.500,27.7,4,27.99,1.153,some background mobs
133,MAINLAND,BDER,02/24/2026,WINTER,"37°2'57""N,122°8'10""W",NO,707,CASJ,2,CONTROL,YES,YES,NO,NO,3,1.500,0,0.000,3,1.500,17.8,3,18.05,1.178,some background jays
134,MAINLAND,BDER,02/24/2026,WINTER,"37°2'46""N,122°8'30""W",YES,721,CASJ,2,HAWK,YES,YES,YES,NO,7,3.500,7,3.500,14,7.000,18.2,2,18.31,1.711,
135,MAINLAND,BDER,02/24/2026,WINTER,"37°2'46""N,122°8'30""W",YES,744,CASJ,2,HAWK,YES,YES,YES,NO,3,1.500,6,3.000,9,4.500,19.2,4,19.61,1.634,some background jays
136,MAINLAND,BDER,02/24/2026,WINTER,"37°3'5""N, 122°8'13""W",YES,819,CASJ,2,HAWK,YES,YES,YES,NO,1,0.500,7,3.500,8,4.000,16.9,6,17.93,2.874,
