SAMPLE,SITE,SUBSITE,DATE,SEASON,PLAYBACK,START.TIME,SPECIES,GROUP.SIZE,TREATMENT,FLEE,ALARM,MOB,INTEREST,NUMBER.ALARM,NUMBER.MOB,HYPOTENUSE,LATENCY.ALARM
43,ISLAND,NA,07/25/2025,SUMMER,NA,1142,ISSJ,3,CONTROL,1,1,0,0,13,0,11.52,0.909
47,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,630,ISSJ,4,HAWK,1,1,0,1,14,0,17,0.799
48,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,635,ISSJ,2,CONTROL,1,1,0,0,2,0,17.33,1.463
49,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,726,ISSJ,4,HAWK,1,1,0,1,9,0,13.42,1.092
50,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,739,ISSJ,7,CONTROL,1,1,0,1,17,0,22.32,2.633
51,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,747,ISSJ,7,HAWK,1,1,1,1,34,3,25.02,0.957
52,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,754,ISSJ,2,CONTROL,1,0,0,1,0,0,10.75,NA
53,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,803,ISSJ,1,HAWK,1,1,0,0,2,0,16.52,2.862
55,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,848,ISSJ,3,HAWK,1,1,1,1,11,1,15.53,1.348
56,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,923,ISSJ,5,HAWK,1,1,1,0,17,6,23.32,1.152
57,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,929,ISSJ,2,CONTROL,1,1,0,0,7,0,17.42,1.414
58,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,940,ISSJ,6,HAWK,1,1,1,1,17,1,32.5,1.315
59,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,946,ISSJ,5,CONTROL,1,0,0,1,0,0,11.44,NA
60,ISLAND,AIRPORT,07/26/2025,SUMMER,NA,952,ISSJ,1,HAWK,1,0,0,1,0,0,17.93,NA
142,ISLAND,AIRPORT,3/6/2026,WINTER,NO,846,ISSJ,2,HAWK,1,1,0,0,10,0,22.5,2.679
143,ISLAND,AIRPORT,3/6/2026,WINTER,NO,849,ISSJ,4,CONTROL,1,1,1,1,5,2,29.95,6.622
144,ISLAND,AIRPORT,3/6/2026,WINTER,NO,902,ISSJ,2,HAWK,1,0,0,0,0,0,21.81,NA
145,ISLAND,AIRPORT,3/6/2026,WINTER,NO,905,ISSJ,3,CONTROL,1,0,0,0,0,0,23.88,NA
146,ISLAND,AIRPORT,3/6/2026,WINTER,YES,915,ISSJ,2,CONTROL,1,1,0,0,3,0,22.56,1.31
147,ISLAND,AIRPORT,3/6/2026,WINTER,YES,1000,ISSJ,2,HAWK,1,1,0,0,4,0,21.74,0.884
1,MAINLAND,BDER,07/02/2025,SUMMER,NA,803,CASJ,3,HAWK,1,1,0,0,NA,NA,8.32,NA
2,MAINLAND,BDER,07/02/2025,SUMMER,NA,904,CASJ,2,HAWK,1,1,1,0,8,41,NA,NA
3,MAINLAND,BDER,07/02/2025,SUMMER,NA,925,CASJ,2,CONTROL,1,0,0,0,0,0,14.24,NA
4,MAINLAND,BDER,07/02/2025,SUMMER,NA,929,CASJ,2,HAWK,1,1,1,0,9,14,13.21,NA
6,MAINLAND,BDER,07/02/2025,SUMMER,NA,1008,CASJ,1,CONTROL,1,1,1,0,NA,NA,17.46,NA
7,MAINLAND,BDER,07/02/2025,SUMMER,NA,1046,CASJ,1,HAWK,1,1,1,0,NA,NA,12.17,NA
109,MAINLAND,BDER,07/02/2025,SUMMER,NA,925,CASJ,2,CONTROL,1,0,0,0,0,0,14.24,NA
110,MAINLAND,BDER,07/02/2025,SUMMER,NA,929,CASJ,2,HAWK,1,1,1,0,9,14,13.21,NA
13,MAINLAND,BDER,07/07/2025,SUMMER,NA,727,CASJ,2,HAWK,1,1,1,0,15,1,17.95,1.062
14,MAINLAND,BDER,07/07/2025,SUMMER,NA,810,CASJ,1,HAWK,1,1,1,0,17,19,NA,NA
16,MAINLAND,BDER,07/07/2025,SUMMER,NA,824,CASJ,3,HAWK,1,1,1,1,2,33,18.74,1.818
17,MAINLAND,BDER,07/07/2025,SUMMER,NA,916,CASJ,2,HAWK,1,1,1,1,7,42,NA,NA
121,MAINLAND,BDER,02/01/2026,WINTER,NO,846,CASJ,1,HAWK,1,1,0,0,5,0,11.18,0.742
122,MAINLAND,BDER,02/01/2026,WINTER,NO,912,CASJ,1,HAWK,1,1,0,0,3,0,20.22,1.319
132,MAINLAND,BDER,02/24/2026,WINTER,NO,652,CASJ,2,CONTROL,1,1,1,0,7,2,27.99,1.153
133,MAINLAND,BDER,02/24/2026,WINTER,NO,707,CASJ,2,CONTROL,1,1,0,0,3,0,18.05,1.178
134,MAINLAND,BDER,02/24/2026,WINTER,YES,721,CASJ,2,HAWK,1,1,1,0,7,7,18.31,1.711
135,MAINLAND,BDER,02/24/2026,WINTER,YES,744,CASJ,2,HAWK,1,1,1,0,3,6,19.61,1.634
136,MAINLAND,BDER,02/24/2026,WINTER,YES,819,CASJ,2,HAWK,1,1,1,0,1,7,17.93,2.874
137,MAINLAND,BDER,02/24/2026,WINTER,NO,827,CASJ,2,CONTROL,1,1,0,0,11,0,28.07,0.501
24,MAINLAND,CAMPUS,07/16/2025,SUMMER,NA,710,CASJ,2,HAWK,1,1,1,0,10,8,18.54,1.02
24,MAINLAND,CAMPUS,07/16/2025,SUMMER,NA,710,CASJ,2,HAWK,1,1,1,0,10,8,18.54,1.02
25,MAINLAND,CAMPUS,07/16/2025,SUMMER,NA,745,CASJ,2,HAWK,1,1,1,0,6,6,NA,NA
26,MAINLAND,CAMPUS,07/16/2025,SUMMER,NA,805,CASJ,2,CONTROL,1,1,1,0,0,2,15.6,NA
26,MAINLAND,CAMPUS,07/16/2025,SUMMER,NA,805,CASJ,2,CONTROL,1,1,1,0,0,2,15.6,NA
27,MAINLAND,CAMPUS,07/16/2025,SUMMER,NA,821,CASJ,1,HAWK,1,1,0,0,4,0,16.9,0.947
