effect,group,term,estimate,std.error,statistic,p.value,model,component
fixed,NA,SPECIESISSJ,-2.0377337317599844,0.6778363917681195,-3.006232413170686,0.00264506742993073,ALARM,NA
fixed,NA,TREATMENTHAWK,1.4019251771910377,0.9274534836721864,1.5115854346033764,0.13063935935777096,ALARM,NA
fixed,NA,GROUP.SIZE,0.6868285778781544,0.29084750889165134,2.361473132417362,0.01820249084725128,ALARM,NA
fixed,NA,SEASONWINTER,0.14362918756878687,0.5195247941639586,0.27646262350177353,0.7821927634548717,ALARM,NA
fixed,NA,SPECIESISSJ:TREATMENTHAWK,1.1329850027057726,1.1014266304127611,1.0286522691767357,0.30364310665559363,ALARM,NA
fixed,NA,HYPOTENUSE,0.09097957409833515,0.24965880226040585,0.36441564757424094,0.715547652552222,ALARM,NA
fixed,NA,PLAYBACKYES,1.188515869716382,1.000295993679995,1.1881641806281191,0.23476873265266857,ALARM,NA
fixed,NA,SPECIESISSJ,-3.7355547382032057,0.8670155366444581,-4.308521105239508,1.6434979577369024e-5,MOB,NA
fixed,NA,TREATMENTHAWK,0.7398793828099842,0.6538228298184486,1.1316205997509012,0.25779397575759155,MOB,NA
fixed,NA,GROUP.SIZE,0.5806287526016426,0.22934068397406893,2.5317302736713434,0.01135012633731428,MOB,NA
fixed,NA,SEASONWINTER,-1.207824213891055,0.550918782070007,-2.192381623572189,0.0283519624020823,MOB,NA
fixed,NA,SPECIESISSJ:TREATMENTHAWK,1.0829931119931222,0.98146893157306,1.103441053663658,0.269835676713105,MOB,NA
fixed,NA,HYPOTENUSE,0.5368092616199449,0.2580001514783164,2.080654831185481,0.03746551123376246,MOB,NA
fixed,NA,PLAYBACKYES,0.9289349008133904,1.3677484334034271,0.6791708753793865,0.49702959881968345,MOB,NA
fixed,NA,SPECIESISSJ,19.630744107442972,3689.249016252754,0.00532106778939588,0.9957544221985786,INTEREST,NA
fixed,NA,TREATMENTHAWK,17.312541765456498,3689.2490413941614,0.00469270075595496,0.996255780260546,INTEREST,NA
fixed,NA,GROUP.SIZE,0.398663557489007,0.239148188629324,1.6670147483614413,0.09551147228891248,INTEREST,NA
fixed,NA,SEASONWINTER,-1.6609535016808123,0.5436907447814266,-3.054960044148894,0.00225090507285993,INTEREST,NA
fixed,NA,SPECIESISSJ:TREATMENTHAWK,-17.401493108930975,3689.2490732469896,-0.00471681167723802,0.9962365427416178,INTEREST,NA
fixed,NA,HYPOTENUSE,-0.2639079977220803,0.2507611644357886,-1.052427708715869,0.29260336150095423,INTEREST,NA
fixed,NA,PLAYBACKYES,-0.8703938732221053,1.588892309158554,-0.5477991605882017,0.5838298150433583,INTEREST,NA
fixed,NA,SPECIESISSJ,-25.599537487292427,215119.03307431313,-1.19001731838619e-4,0.9999050503556812,FLEE,NA
fixed,NA,TREATMENTHAWK,38.4850483125087,11865233.438652538,3.243513792753429e-6,0.999997412050422,FLEE,NA
fixed,NA,GROUP.SIZE,2.7153149712730564,1.7763386970371606,1.5286020485856997,0.12636312786683074,FLEE,NA
fixed,NA,SEASONWINTER,-0.23997299099306513,1.4596290818580582,-0.16440683045831594,0.8694108868123653,FLEE,NA
fixed,NA,SPECIESISSJ:TREATMENTHAWK,53.91445813299897,15748407.12929911,3.4234864320146937e-6,0.9999972684530318,FLEE,NA
fixed,NA,HYPOTENUSE,-0.8190327247291319,0.7454352923281548,-1.0987308129336304,0.27188549827128683,FLEE,NA
fixed,NA,PLAYBACKYES,-43.851174418972334,25604811.06373458,-1.7126146453422195e-6,0.999998633531216,FLEE,NA
fixed,NA,SPECIESISSJ,-0.1855472671122815,0.306999121835451,-0.6043902210630208,0.5455842357091927,ALARM.CALL,cond
fixed,NA,TREATMENTHAWK,0.7209264795329706,0.2946875763445558,2.446409477032198,0.01442870252059547,ALARM.CALL,cond
fixed,NA,GROUP.SIZE,0.4162475423240965,0.07364406937919676,5.6521529273568305,1.584505172750569e-8,ALARM.CALL,cond
fixed,NA,SEASONWINTER,0.3863599085194598,0.18460906770369245,2.092854448187715,0.03636214960652461,ALARM.CALL,cond
fixed,NA,SPECIESISSJ:TREATMENTHAWK,-0.05351079328340302,0.3437472979886784,-0.1556689858989537,0.8762939447638738,ALARM.CALL,cond
fixed,NA,HYPOTENUSE,-0.014439809012905966,0.08680312228341215,-0.16635126287001517,0.8678805260578173,NA,cond
fixed,NA,PLAYBACKYES,0.08372297019429285,0.4425851297820962,0.18916805956746283,0.8499611004401312,NA,cond
fixed,NA,SPECIESISSJ,-3.640643408826867,0.7413902865140416,-4.910562594426323,9.081546035227802e-7,MOB.CALL,cond
fixed,NA,TREATMENTHAWK,1.0212062858491604,0.537665621032734,1.8993334256478112,0.05752065068093185,MOB.CALL,cond
fixed,NA,GROUP.SIZE,0.3289265506253748,0.1875233796663022,1.7540562206733874,0.07942087423090988,MOB.CALL,cond
fixed,NA,SEASONWINTER,-0.9521103485346954,0.4494949299888391,-2.118178170682228,0.03415998119021707,MOB.CALL,cond
fixed,NA,SPECIESISSJ:TREATMENTHAWK,1.3778531774553875,0.8227639726179574,1.6746639659867322,0.09400018120484614,MOB.CALL,cond
fixed,NA,HYPOTENUSE,0.0772307575246681,0.2660150134075654,0.2903248073684539,0.7715677622070762,NA,cond
fixed,NA,PLAYBACKYES,-0.041778242228928786,0.9061849300306288,-0.046103439645058635,0.963227804485159,NA,cond
